"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
9.059874996E-3,-7.091687012E1,-4.668698502E1,-2.633911133E0,8.494595061E1
1.911037500E-2,-7.097948456E1,-4.676160812E1,-2.727478027E0,8.504219164E1
2.916137500E-2,-7.104500580E1,-4.678528214E1,-2.657531738E0,8.510768443E1
3.921237501E-2,-7.146643066E1,-4.698868179E1,-3.056457520E0,8.558462982E1
4.926337500E-2,-7.194552612E1,-4.715673447E1,-3.007019043E0,8.607530713E1
5.931437500E-2,-7.201073456E1,-4.723784256E1,-3.248779297E0,8.618302750E1
6.936537501E-2,-7.217591858E1,-4.736198807E1,-3.279846191E0,8.639026871E1
7.941637500E-2,-7.213035583E1,-4.733344650E1,-3.318908691E0,8.633804808E1
8.946737500E-2,-7.214645386E1,-4.746979141E1,-3.430786133E0,8.643067855E1
9.951937500E-2,-7.221852875E1,-4.747964859E1,-2.804809570E0,8.647369474E1
1.095703750E-1,-7.222229004E1,-4.751353073E1,-2.923278809E0,8.649936612E1
1.196213750E-1,-7.220564270E1,-4.746585464E1,-2.979492188E0,8.646120268E1
1.296723750E-1,-7.211053467E1,-4.742227554E1,-2.676208496E0,8.634792134E1
1.397233750E-1,-7.211729431E1,-4.735831070E1,-2.980895996E0,8.632843953E1
1.497743750E-1,-7.235552979E1,-4.746966934E1,-2.796203613E0,8.658239401E1
1.598253750E-1,-7.253653717E1,-4.728383255E1,-2.963073730E0,8.663769302E1
1.698763750E-1,-7.277217865E1,-4.723425674E1,-3.110229492E0,8.681323933E1
1.799273750E-1,-7.275502777E1,-4.732617569E1,-2.960510254E0,8.684368482E1
1.899783750E-1,-7.290351105E1,-4.730865097E1,-3.163208008E0,8.696571890E1
2.000293750E-1,-7.290351105E1,-4.730865097E1,-3.163208008E0,8.696571890E1
2.100813750E-1,-7.311126709E1,-4.737124252E1,-2.687988281E0,8.715800178E1
2.201323750E-1,-7.328647614E1,-4.737936783E1,-2.840698242E0,8.731426943E1
2.301833750E-1,-7.339028168E1,-4.748408127E1,-2.705627441E0,8.745394124E1
2.402343750E-1,-7.339028168E1,-4.748408127E1,-2.705627441E0,8.745394124E1
2.502853750E-1,-7.386090851E1,-4.755046463E1,-2.616210938E0,8.788245019E1
2.603363750E-1,-7.386090851E1,-4.755046463E1,-2.616210938E0,8.788245019E1
2.703873750E-1,-7.411769867E1,-4.761426163E1,-2.936645508E0,8.814292401E1
2.804383750E-1,-7.437223053E1,-4.773585892E1,-2.857543945E0,8.842005688E1
2.904893750E-1,-7.488656616E1,-4.781871414E1,-2.818359375E0,8.889640242E1
3.005403750E-1,-7.521031189E1,-4.799993515E1,-2.844421387E0,8.926743820E1
3.105923750E-1,-7.546325684E1,-4.821299362E1,-2.554077148E0,8.958637841E1
3.206433750E-1,-7.585308075E1,-4.834653854E1,-2.725463867E0,8.999169852E1
3.306943750E-1,-7.614022827E1,-4.840188217E1,-2.605529785E0,9.025998751E1
3.407453750E-1,-7.773743439E1,-4.873867416E1,-2.014526367E0,9.177486247E1
3.507963750E-1,-7.859561920E1,-4.900636673E1,-1.685913086E0,9.263766858E1
3.608473750E-1,-7.949900818E1,-4.907648849E1,-1.501647949E0,9.343901204E1
3.708983750E-1,-8.018983459E1,-4.922586441E1,-1.542358398E0,9.410618560E1
3.809493750E-1,-8.078711700E1,-4.948801804E1,-1.101379395E0,9.474616214E1
3.910003750E-1,-8.151410675E1,-4.963531876E1,-1.286254883E0,9.544563332E1
4.010513750E-1,-8.212468719E1,-4.976160049E1,-8.331298828E-1,9.602799194E1
4.111033750E-1,-8.283994293E1,-4.973646927E1,-4.836425781E-1,9.662508179E1
4.211543750E-1,-8.336513519E1,-4.977309799E1,-5.144042969E-1,9.709465310E1
4.312053750E-1,-8.434143066E1,-4.963825607E1,1.566162109E-1,9.786448754E1
4.412563750E-1,-8.545021057E1,-4.959923935E1,5.410766602E-1,9.880341995E1
4.513073750E-1,-8.670451355E1,-4.974012375E1,7.191772461E-1,9.996134151E1
4.613583750E-1,-8.776177979E1,-4.994086838E1,4.415893555E-1,1.009773010E2
4.714093750E-1,-8.884336090E1,-4.978806686E1,2.785034180E-1,1.018433697E2
4.814603750E-1,-8.969639587E1,-4.985826492E1,5.477294922E-1,1.026235354E2
4.915113750E-1,-9.039887238E1,-4.979647446E1,5.024414062E-1,1.032080299E2
5.015623750E-1,-9.126574707E1,-4.973467636E1,7.365112305E-1,1.039399686E2
5.116133750E-1,-9.193081665E1,-4.949921036E1,1.213256836E0,1.044170430E2
5.216653750E-1,-9.257021332E1,-4.938689804E1,1.033081055E0,1.049255800E2
5.317163750E-1,-9.303987122E1,-4.941733932E1,1.694458008E0,1.053630023E2
5.417673750E-1,-9.349753571E1,-4.925503922E1,1.444946289E0,1.056879177E2
5.518183750E-1,-9.123148346E1,-5.321545410E1,1.430529785E1,1.065819388E2
5.618693750E-1,-9.134028625E1,-5.330424500E1,1.478698730E1,1.067850431E2
5.719203750E-1,-9.128406525E1,-5.330342865E1,1.446063232E1,1.066918271E2
5.819713750E-1,-9.101338959E1,-5.338683319E1,1.473693848E1,1.065399850E2
5.920223750E-1,-9.069419098E1,-5.332595825E1,1.463220215E1,1.062223867E2
6.020733750E-1,-9.060472870E1,-5.315274048E1,1.461651611E1,1.060569339E2
6.121243750E-1,-9.038195038E1,-5.317169189E1,1.522271729E1,1.059615822E2
6.221763750E-1,-9.058393097E1,-5.301976013E1,1.520660400E1,1.060555718E2
6.322273750E-1,-9.117527771E1,-5.302037048E1,1.567877197E1,1.066298028E2
6.422783750E-1,-9.212722015E1,-5.288968658E1,1.573504639E1,1.073887113E2
6.523293750E-1,-9.212722015E1,-5.288968658E1,1.573504639E1,1.073887113E2
6.623803750E-1,-9.435095978E1,-5.242707062E1,1.663568115E1,1.092128529E2
6.724313750E-1,-9.569541168E1,-5.204367065E1,1.716571045E1,1.102760948E2
6.824823750E-1,-9.742350769E1,-5.172022247E1,1.850836182E1,1.118431076E2
6.925333750E-1,-9.898880768E1,-5.105429077E1,1.949517822E1,1.130724839E2
7.025843750E-1,-1.005109940E2,-5.030489349E1,2.077160645E1,1.143000518E2
7.126353750E-1,-1.019368057E2,-4.933162689E1,2.239056396E1,1.154385513E2
7.226863750E-1,-1.031484070E2,-4.829520416E1,2.390765381E1,1.163769587E2
7.327383750E-1,-1.039965668E2,-4.711919403E1,2.518804932E1,1.169185279E2
7.427893750E-1,-1.046288071E2,-4.579310608E1,2.650909424E1,1.172472938E2
7.528403750E-1,-1.050466537E2,-4.412435913E1,2.730810547E1,1.171643767E2
7.628913750E-1,-1.049965744E2,-4.240582275E1,2.856402588E1,1.167837232E2
7.729423750E-1,-1.045153885E2,-4.041498566E1,2.924011230E1,1.158094196E2
7.829933750E-1,-1.036600800E2,-3.844443512E1,3.055572510E1,1.147041373E2
7.930443750E-1,-1.222317047E2,-3.068814087E1,-5.185791016E0,1.261318519E2
8.030953750E-1,-1.213745117E2,-2.807038879E1,-4.120544434E0,1.246462904E2
8.131463750E-1,-1.204648895E2,-2.545202637E1,-3.020629883E0,1.231613554E2
8.231973750E-1,-1.195236206E2,-2.270198059E1,-1.867492676E0,1.216748262E2
8.332493750E-1,-1.187184143E2,-1.994702148E1,-8.850708008E-1,1.203857505E2
8.433003750E-1,-1.177873383E2,-1.702993011E1,-2.903442383E-1,1.190124358E2
8.533513750E-1,-1.163477783E2,-1.430543518E1,4.126586914E-1,1.172246616E2
8.634023750E-1,-1.151468353E2,-1.143988800E1,1.103942871E0,1.157189847E2
8.734533750E-1,-1.303972321E2,1.286176453E2,-9.749548340E1,2.074880866E2
