"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.517874994E-3,2.004277344E2,-5.490830994E1,-3.829533386E2,4.357057020E2
1.656787499E-2,2.005590515E2,-5.485144043E1,-3.830420837E2,4.358369553E2
2.661887500E-2,2.005422363E2,-5.487257385E1,-3.831304626E2,4.359095541E2
3.666987500E-2,2.005401611E2,-5.493298340E1,-3.827158508E2,4.355518469E2
4.672087499E-2,2.005134735E2,-5.486563110E1,-3.828363953E2,4.356370004E2
5.677087500E-2,2.005256042E2,-5.490274048E1,-3.827769470E2,4.355950184E2
6.682187499E-2,2.004576721E2,-5.494070435E1,-3.824591370E2,4.352892725E2
7.687287500E-2,2.004814301E2,-5.487501526E1,-3.826274719E2,4.354398390E2
8.692387500E-2,2.004358826E2,-5.484381104E1,-3.827181091E2,4.354945897E2
9.697387500E-2,2.004966888E2,-5.487377930E1,-3.829322205E2,4.357145159E2
1.070248750E-1,2.005051727E2,-5.492430115E1,-3.828683167E2,4.356686253E2
1.170758750E-1,2.005517120E2,-5.486096191E1,-3.827378235E2,4.355673953E2
1.271258750E-1,2.006030579E2,-5.491903687E1,-3.830757141E2,4.358952743E2
1.371768750E-1,2.004732056E2,-5.486256409E1,-3.828551941E2,4.356346023E2
1.472278750E-1,2.005077057E2,-5.492433167E1,-3.827326965E2,4.355506162E2
1.572788750E-1,2.004449158E2,-5.493797302E1,-3.828800354E2,4.356529199E2
1.673288750E-1,2.006021729E2,-5.482608032E1,-3.825144348E2,4.353899674E2
1.773798750E-1,2.004826508E2,-5.482342529E1,-3.827801208E2,4.355680454E2
1.874308750E-1,2.006400909E2,-5.467993164E1,-3.821642151E2,4.350814042E2
1.974808750E-1,2.005399628E2,-5.484997559E1,-3.828661194E2,4.356733431E2
2.075318750E-1,2.006506042E2,-5.493797302E1,-3.829082336E2,4.357723732E2
2.175828750E-1,2.004958649E2,-5.493975830E1,-3.826125793E2,4.354415630E2
2.276338750E-1,2.006390991E2,-5.496647644E1,-3.830457458E2,4.358915060E2
2.376838750E-1,2.005668793E2,-5.491712952E1,-3.827842102E2,4.356222168E2
2.477348750E-1,2.005221558E2,-5.479089355E1,-3.830898743E2,4.358543664E2
2.577858750E-1,2.007019043E2,-5.498583984E1,-3.832629089E2,4.361136943E2
2.678358750E-1,2.006352844E2,-5.490620422E1,-3.829101257E2,4.357629780E2
2.778868750E-1,2.005953674E2,-5.485858154E1,-3.829842834E2,4.358037709E2
2.879378750E-1,2.006829529E2,-5.483041382E1,-3.827160339E2,4.356048490E2
2.979888750E-1,2.005711517E2,-5.493110657E1,-3.830672913E2,4.358747102E2
3.080388750E-1,2.005758820E2,-5.486895752E1,-3.830473938E2,4.358515720E2
3.180898750E-1,2.006673431E2,-5.490724182E1,-3.829833679E2,4.358422282E2
3.281408750E-1,2.006428375E2,-5.486592102E1,-3.831785583E2,4.359972765E2
3.381918750E-1,2.005245209E2,-5.500218201E1,-3.828169250E2,4.356421945E2
3.482418750E-1,2.006483154E2,-5.501797485E1,-3.832528381E2,4.360842373E2
3.582928750E-1,2.004183960E2,-5.498654175E1,-3.833639832E2,4.360722381E2
3.683438750E-1,2.006359406E2,-5.492274475E1,-3.830335388E2,4.358738125E2
3.783938750E-1,2.006197968E2,-5.501266479E1,-3.831950378E2,4.360196477E2
3.884448750E-1,2.006368256E2,-5.501353455E1,-3.832828064E2,4.361047287E2
3.984958750E-1,2.007032013E2,-5.509881592E1,-3.833184509E2,4.361773600E2
4.085468750E-1,2.007736816E2,-5.502757263E1,-3.834289856E2,4.362979395E2
4.185968750E-1,2.005675201E2,-5.500700378E1,-3.831261902E2,4.359343737E2
4.286478750E-1,2.007171631E2,-5.509733582E1,-3.834367981E2,4.362876048E2
4.386988750E-1,2.006270142E2,-5.493141174E1,-3.830149841E2,4.358544905E2
4.487488750E-1,2.007189331E2,-5.494729614E1,-3.830251770E2,4.359077674E2
4.587998750E-1,2.005716095E2,-5.500225830E1,-3.831025696E2,4.359148974E2
4.688508750E-1,2.008057404E2,-5.505551147E1,-3.828098450E2,4.357722250E2
4.789018750E-1,2.006569824E2,-5.513381958E1,-3.830509338E2,4.359254301E2
4.889518750E-1,2.007355957E2,-5.499771118E1,-3.829782410E2,4.358805578E2
4.990028750E-1,2.007206268E2,-5.508590698E1,-3.829888611E2,4.358941327E2
5.090538750E-1,2.007149963E2,-5.510394287E1,-3.831653137E2,4.360488641E2
5.191038750E-1,2.007041626E2,-5.508700562E1,-3.829886780E2,4.358865294E2
5.291540833E-1,2.004891815E2,-5.504560852E1,-3.833354187E2,4.360871176E2
5.392050833E-1,2.006116943E2,-5.506890869E1,-3.832765808E2,4.360946847E2
5.492560833E-1,2.006693268E2,-5.502389526E1,-3.834316711E2,4.362518243E2
5.593060833E-1,2.004616852E2,-5.502952576E1,-3.832030334E2,4.359560767E2
5.693570833E-1,2.005858154E2,-5.497972107E1,-3.830510559E2,4.358733193E2
5.794080833E-1,2.005084076E2,-5.507489014E1,-3.831677551E2,4.359522836E2
5.894580833E-1,2.005752258E2,-5.492402649E1,-3.829726257E2,4.357924987E2
5.995090833E-1,2.004312592E2,-5.498901367E1,-3.831558533E2,4.358955026E2
6.095600833E-1,2.005477905E2,-5.502278137E1,-3.833072815E2,4.360864534E2
6.196110833E-1,2.004254150E2,-5.494264221E1,-3.833235168E2,4.360343559E2
6.296610833E-1,2.006060791E2,-5.499305725E1,-3.836216736E2,4.363858657E2
6.397120833E-1,2.004422760E2,-5.490538025E1,-3.830197449E2,4.357703888E2
6.497630833E-1,2.005993805E2,-5.493017578E1,-3.832255554E2,4.360266758E2
6.598140833E-1,2.004037476E2,-5.494293213E1,-3.834690247E2,4.361523595E2
6.698640833E-1,2.005245819E2,-5.490367126E1,-3.832371521E2,4.359991236E2
6.799150833E-1,2.006119080E2,-5.497457886E1,-3.833532410E2,4.361502600E2
6.899660833E-1,2.006653900E2,-5.504052734E1,-3.833053284E2,4.361410702E2
7.000160833E-1,2.005184784E2,-5.502127075E1,-3.831423035E2,4.359277751E2
7.100670833E-1,2.005529785E2,-5.504801941E1,-3.832663269E2,4.360560273E2
7.201180833E-1,2.006276703E2,-5.497946167E1,-3.830255432E2,4.358701298E2
7.301680833E-1,2.005951538E2,-5.501963806E1,-3.833320007E2,4.361295669E2
7.402190833E-1,2.005601654E2,-5.504423523E1,-3.833962097E2,4.361730177E2
7.502700833E-1,2.007166290E2,-5.498747253E1,-3.831440735E2,4.360162478E2
7.603210833E-1,2.007217712E2,-5.511531067E1,-3.833956604E2,4.362558416E2
7.703710833E-1,2.006267548E2,-5.488255310E1,-3.831567688E2,4.359728189E2
7.804220833E-1,2.005140686E2,-5.494799805E1,-3.832914734E2,4.360476210E2
7.904730833E-1,2.005438995E2,-5.498928833E1,-3.832639771E2,4.360423759E2
8.005240833E-1,2.006370392E2,-5.499049377E1,-3.829794312E2,4.358353136E2
8.105740833E-1,2.005631866E2,-5.509490967E1,-3.835089722E2,4.362799246E2
8.206250833E-1,2.004729614E2,-5.501049805E1,-3.831273193E2,4.358923101E2
8.306760833E-1,2.005710144E2,-5.502128601E1,-3.832630005E2,4.360580251E2
8.407260833E-1,2.004327240E2,-5.499598694E1,-3.831422119E2,4.358850651E2
8.507770833E-1,2.005957947E2,-5.506408691E1,-3.827769165E2,4.356476722E2
8.608280833E-1,2.006090546E2,-5.501353455E1,-3.830784912E2,4.359123905E2
8.708790833E-1,2.005312958E2,-5.492631531E1,-3.828036499E2,4.356240754E2
8.809290833E-1,2.005616760E2,-5.491140747E1,-3.829326172E2,4.357495128E2
8.909800833E-1,2.005400391E2,-5.493687439E1,-3.832779541E2,4.360462791E2
9.010310833E-1,2.004215393E2,-5.486094666E1,-3.828638916E2,4.356182691E2
9.110810833E-1,2.005265808E2,-5.490715027E1,-3.831985474E2,4.359665486E2
9.211320833E-1,2.004320374E2,-5.495996094E1,-3.829928589E2,4.357489287E2
9.311830833E-1,2.004970093E2,-5.502793884E1,-3.831717529E2,4.359446261E2
