"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.922000004E-3,-7.940411568E-1,2.070005035E1,-4.599786377E1,5.044726016E1
1.797299999E-2,-8.995327950E-1,2.058956146E1,-4.590917969E1,5.032287730E1
2.802400000E-2,-8.500053883E-1,2.054103088E1,-4.588439941E1,5.027956412E1
3.807500000E-2,-8.423023224E-1,2.048725510E1,-4.581158447E1,5.019101878E1
4.812599999E-2,-7.617659569E-1,2.059009171E1,-4.594989014E1,5.035796429E1
5.817700000E-2,-7.524347305E-1,2.051919556E1,-4.559912109E1,5.000883311E1
6.822800000E-2,-7.769598961E-1,2.059654236E1,-4.561053467E1,5.005139455E1
7.827899999E-2,-7.342722416E-1,2.050648117E1,-4.569763184E1,5.009319795E1
8.833000000E-2,-8.104004860E-1,2.057024002E1,-4.570758057E1,5.012957655E1
9.838100000E-2,-6.433844566E-1,2.054029846E1,-4.563165283E1,5.004563462E1
1.084330000E-1,-6.046919823E-1,2.037676239E1,-4.561791992E1,4.996571540E1
1.184840000E-1,-6.746764183E-1,2.041024017E1,-4.563000488E1,4.999130362E1
1.285350000E-1,-7.724912167E-1,2.053117752E1,-4.569250488E1,5.009921153E1
1.385860000E-1,-7.460122108E-1,2.039718628E1,-4.557806396E1,4.993958007E1
1.486370000E-1,-7.737348080E-1,2.052816010E1,-4.562011719E1,5.003198092E1
1.586880000E-1,-7.611246109E-1,2.042275620E1,-4.534045410E1,4.973354059E1
1.687390000E-1,-5.609712601E-1,2.044204330E1,-4.537890625E1,4.977385816E1
1.787900000E-1,-6.533148289E-1,2.044377518E1,-4.575390625E1,5.011780822E1
1.888410000E-1,-7.756900787E-1,2.054433441E1,-4.535125732E1,4.979365333E1
1.988920000E-1,-7.150697708E-1,2.062485123E1,-4.552545166E1,4.998462325E1
2.089430000E-1,-6.713018417E-1,2.049484634E1,-4.564263916E1,5.003738485E1
2.189940000E-1,-6.442503929E-1,2.048196793E1,-4.546179199E1,4.986682865E1
2.290450000E-1,-6.723446846E-1,2.065837479E1,-4.575854492E1,5.021020742E1
2.390970000E-1,-7.341892719E-1,2.064554977E1,-4.560449219E1,5.006543186E1
2.491480000E-1,-8.535497189E-1,2.069997406E1,-4.594995117E1,5.040451851E1
2.591990000E-1,-9.104006290E-1,2.060821533E1,-4.555236816E1,5.000545584E1
2.692500000E-1,-1.044146299E0,2.069644547E1,-4.527514648E1,4.979228841E1
2.793010000E-1,-9.200873375E-1,2.071728516E1,-4.556842041E1,5.006529141E1
2.893520000E-1,-8.475990295E-1,2.078232956E1,-4.518634033E1,4.974363274E1
2.994030000E-1,-8.067407608E-1,2.067601776E1,-4.548413086E1,4.996953773E1
3.094540000E-1,-8.898301125E-1,2.071814346E1,-4.552880859E1,5.002904834E1
3.195050000E-1,-9.726212025E-1,2.061071014E1,-4.528802490E1,4.976698267E1
3.295560000E-1,-8.986532688E-1,2.064435959E1,-4.549249268E1,4.996562869E1
3.396070000E-1,-8.807559013E-1,2.063511276E1,-4.557202148E1,5.003391602E1
3.496580000E-1,-6.940963268E-1,2.053689957E1,-4.566693115E1,5.007708672E1
3.597090000E-1,-6.947979927E-1,2.060232162E1,-4.574029541E1,5.017083839E1
3.697610000E-1,-6.291525364E-1,2.053831863E1,-4.583160400E1,5.022702749E1
3.798120000E-1,-6.504871845E-1,2.069983292E1,-4.588226318E1,5.033972876E1
3.898630000E-1,-7.715702057E-1,2.071191025E1,-4.545361328E1,4.995607578E1
3.999140000E-1,-6.180908680E-1,2.067892075E1,-4.581866455E1,5.027275426E1
4.099650000E-1,-7.157931328E-1,2.068870926E1,-4.580413818E1,5.026483985E1
4.200160000E-1,-9.075801373E-1,2.053752518E1,-4.589337158E1,5.028732641E1
4.300670000E-1,-7.544767857E-1,2.061276245E1,-4.583392334E1,5.026135434E1
4.401180000E-1,-7.762124538E-1,2.064204407E1,-4.568859863E1,5.014124584E1
4.501690000E-1,-8.486371040E-1,2.068522263E1,-4.556579590E1,5.004838035E1
4.602200000E-1,-8.315567970E-1,2.071746445E1,-4.571624756E1,5.019840745E1
4.702710000E-1,-7.095561028E-1,2.054422379E1,-4.551245117E1,4.993948150E1
4.803220000E-1,-7.948548794E-1,2.058871841E1,-4.559283447E1,5.003232630E1
4.903730000E-1,-8.863523006E-1,2.064917374E1,-4.551312256E1,4.998618130E1
5.004240000E-1,-7.526161671E-1,2.055320358E1,-4.557196045E1,4.999804184E1
5.104760000E-1,-8.182771206E-1,2.045548248E1,-4.555645752E1,4.994484120E1
5.205270000E-1,-6.782135963E-1,2.042647934E1,-4.538354492E1,4.977315724E1
5.305780000E-1,-7.128846645E-1,2.048779297E1,-4.576251221E1,5.014444524E1
